"estate_object_name","construction_adress"
" Татьянин парк","Москва, НАО, поселение Московский, Говорово дер., северо-западнее, корп. 2, 3 "
" Ново-Никольское ","П. Первомайское, вблизи д. Ивановское, уч.1/1, ГП №6"
"Некрасовка Парк","ЮВАО, район Некрасовка, квартал 7, корпус 3, секция 2, квартира № 128"
" Garden Park Эдальго","Г. Москва, НАО, поселение Сосенское, Коммунарка пос., участок 282Ю, корпус 2,"
"Некрасовка Парк","Москва, ЮВАО, район Некрасовка, кв. 7, корп. 6, примерно в 1040 м по направлению на северо-запад от ориентира северно-западная граница"
"Коммунарка 5","Московская область, Ленинский муниципальный район, сельское поселение Сосенское, пос. Коммунарка, корп. 1"
" Переделкино Ближнее","Москва, НАО, дом 3, уч. 13/2, секция 3, проектный номер 168"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., уч. 13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, по СПОЗУ №8, секция 2, этаж 8, проектный номер 91, номер на площадке 3"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер.., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки квл6 дом 3"
"Жилой район Бунинский","НАО,пос.Сосенское,д.Столбово,уч.27,корп.16,усл.№93"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., уч.13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки"
" Борисоглебское","Квартира находится на земельном участке с кадастровым номером 50:26:0140503:43 по адресу Москва,п Новофедоровское,д Зверево,дом171,секция В"
"Жилой микрорайон Новые Ватутинки","Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53, д.81"
"Многоквартирный жилой дом ","Г.Москва, г.Щербинка, местечко Барыши, корп. 11"
"Мкрн. Солнцево-парк","Поселение Внуковское, д. Пыхтино, уч. 6/1, корпус 14"
" Новое Бутово","Нао пос воскресенское дер язово корп 9 кв 45"
" Татьянин парк","НАО, поселение Московский, Говорово д., северо-западнее, кор. 6, 7 "
" Новое Бутово","Г. Москва НАО, поселение Воскресенское, д. Язово, корп. 10 , секция 1, условный № кв. 4."
"Некрасовка Парк","Москва, ЮВАО ,район Некрасовка, кв-л.7,корп. 8"
" Переделкино Ближнее","НАО, поселение Внуковское, дер. Рассказовка, уч. 13/2, в составе 2-ой очереди строительства, 6-й квартал жилой застройки, секция 3, этаж 14, проектный номер 180, номер на площадке 4, количество комнат 2 дом 5"
" Татьянин парк","Г. Москва, поселение Московский, северо-западнее д. Говорово, секция 2"
" LIFE-Митинская ","Г. Москва, СЗАО, район Митино, улица Митинская, корпус В, кв. 417"
" Новое Бутово","Г. Москва, НАО, поселение Воскресенское, деревня Язово."
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв.5 дом 10"
" LIFE-Митинская ","Москва, СЗАО, район Митино, улица Митинская."
" Вершинино","Г. Москва, ЮАО, район Нагорный, Электролитный проезд, вл. 16, корпус 1, 5 этаж, секция 1, № на площадке 4"
" Татьянин парк ","Г Москва г Строительный адрес г Московская область п с.о. Московский д северо-западнее д. Говорово 21,22"
" Новые Ватутинки","Москва, НАО, поселение Десёновское, вблизи дер. Десна, уч. 50/8, корпус 37."
" Первый Московский","НАО, поселение Московский, Московский пос., квартал 2 микрорайон 1, секция 9подъезд) 5, проектный номер 313, № на площадке 4."
" Татьянин парк","Москва, НАО, п. Московский, северо-западнее д. Говорово, корп. 3, секция 2, условный № кв. 86. Кад. № 50:21:0110502:644."
"МФК Лайнер","Хорошевское ш., вл.38А "
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер.,уч. 13/2, жилой дом №9, секция 5, этаж 10, проектный номер 292, номер на площадке 4"
" LIFE-Митинская ","СЗАО район Митино ул.Митинская"
"Жилой микрорайон Новые Ватутинки","НАО, поселение Десёновское, Десна дер., вблизи, уч. 50/8, корп. 35"
" Новое Бутово","НАО, пос Воскресенское, дер Язово корп 12 кв 36"
"Жилой микрорайон Новые Ватутинки","Москва, НАО, поселение Десеновское, Десна, уч 50/8"
" Татьянин парк ","Поселение Московский д северо-западнее д. Говорово корпус 24 квартира 202"
"Жилой район Бунинский","НАО, поселение Сосенское, деревня Столбово, вблизи уч.27, корп 9"
" Татьянин парк","НАО, поселение Московский, Говорово дер., северо-западнее, корп. 1 "
" Москва А101","Москва, НАО, поселение Сосенское, посёлок Газопровод, корп. 16"
" Переделкино Ближнее","Москва, НАО, поселение Внуковское, Рассказовка дер., кв.5. Дом № 2."
" Некрасовка Парк","Москва, ЮВАО, район Некрасовка, кв. 5, корп. 6, кв.95"
" Новые Ватутинки","Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53"
" Английский квартал","Ул. Мытная, дом 7, стр. 1, номер 38"
" Новые Ватутинки","Московская область, Ленинский район, Десеновское сельское поселение, вблизи дер. Десна, уч. 53 , д.77"
" Ривер Парк ","Г. Москва, ул. Речников, вл. 7, корпус 10, квартира 168"
"Многоквартирный жилой дом ","Г.Москва, г.Щербинка, местечко Барыши, корп. 11, квартира 4"
" Некрасовка Парк ","2-х  секционный 25-ти этажный жилой дом с первым нежилым и верхним техническим этажами из изделий производства «ДСК 1» на базе проекта повторного применения , строительство которого осуществляется по адресу: Москва, ЮВАО, район Некрасовка, к"
" Переделкино Ближнее","НАО, поселение Внуковское, Рассказовка дер., кв. 5, жилой дом №2, секция 4, этаж 5, проектный номер 279, номер на площадке 2"
